id,hiragana,hinmoku,kubun,kubun2,note
316,えばーふらわー（けーす：がらすせい）,エバーフラワー（ケース：ガラス製）,燃やせないごみ,不燃,
317,えび・かにのから,エビ・カニの殻,燃やせるゴミ,可燃,
318,えふあーるぴー（せんいきょうかぷらすちっく）せいひん,FRP（繊維強化プラスチック）製品,燃やせないごみ,不燃,
319,えふぇくたー,エフェクター,金属,金属,
320,えふぇくたーけーす・ぼーど,エフェクターケース・ボード,金属,金属,
321,えふえむとらんすみったー,FMトランスミッター,金属,金属,
322,えぷろん,エプロン,燃やせるゴミ,可燃,
323,えむおー（けーすをふくむ）,MO（ケースを含む）,その他プラスチック,他プラ,
324,えむおーどらいぶ,MOドライブ,金属（エコ）,金属（エコ）,
325,えむでぃ（けーすをふくむ）,MD（ケースを含む）,その他プラスチック,他プラ,
326,えむでぃれこーだー,MDレコーダー,金属（エコ）,金属（エコ）,
327,えもんかけ（もくせい）,衣紋掛け（木製）,燃やせるゴミ,可燃,
328,えもんかけ（ぷらすちっくせい）,衣紋掛け（プラスチック製）,その他プラスチック,他プラ,
329,えもんかけ（きんぞくせい）,衣紋掛け（金属製）,金属,金属,
330,えりざべすからー（きずぐちほごよう）（ぷらすちっくせい）,エリザベスカラー（傷口保護用）（プラスチック製）,その他プラスチック,他プラ,
331,えりざべすからー（きずぐちほごよう）（ぬのせい）,エリザベスカラー（傷口保護用）（布製）,燃やせるゴミ,可燃,
332,えるいーでぃーせいひん,LED製品,燃やせないごみ,不燃,充電式電池を取り除いて「危険ごみ」。取り除くことが出来なければそのまま「危険ごみ」。
333,らいぶどあでぃすく,LDディスク,その他プラスチック,他プラ,
334,えれきぎたー,エレキギター,金属,金属,
335,えれくとーん,エレクトーン,金属,金属,
336,えんかびにーるしーと,塩化ビニールシート,その他プラスチック,他プラ,
337,えんかびにーるぱいぷ,塩化ビニールパイプ,その他プラスチック,他プラ,
338,えんげいようしちゅう（きんぞくせい）,園芸用支柱（金属製）,金属,金属,
339,えんげいようねっと,園芸用ネット,その他プラスチック,他プラ,
340,えんげいようぴっく（もくせい）,園芸用ピック（木製）,燃やせるゴミ,可燃,
341,えんげいようぴっく（ぷらすちっくせい）,園芸用ピック（プラスチック製）,その他プラスチック,他プラ,
342,えんげいようびにーるしーと,園芸用ビニールシート,その他プラスチック,他プラ,
343,えんじんおいる,エンジンオイル,処理困難物,処理困難物,廃油処理ボックス（オイルパック）で処理した物は、西部クリーンセンター又はクリーンセンターおおたかへ自己搬入。
344,えんじんおいるのほとぎ,エンジンオイルの缶,金属,金属,
345,えんせき,縁石,燃やせないごみ,不燃,
346,えんだい,縁台,燃やせるゴミ,可燃,
347,えんちょうこーど,延長コード,燃やせないごみ,不燃,
348,えんぴはり,円皮鍼,金属,金属,
349,えんぴつ・いろえんぴつ,鉛筆・色鉛筆,燃やせるゴミ,可燃,
350,えんぴつけずり,鉛筆削り,金属,金属,
351,おあしす（きゅうすいすぽんじ）,オアシス（給水スポンジ）,燃やせるゴミ,可燃,
352,おいる（しょくようあぶら）,オイル（食用油）,燃やせるゴミ,可燃,凝固剤で固めるか雑紙等に染みこませる。
353,おいる（えんじんおいる）,オイル（エンジンオイル）,処理困難物,処理困難物,廃油処理ボックス（オイルパック）で処理した物は、西部クリーンセンター又はクリーンセンターおおたかへ自己搬入。
354,おいるのようき（ぷらすちっくせい）,オイルの容器（プラスチック製）,容器包装プラスチック,容プラ,中身は取り除く。汚れが取れない物は「可燃」。
355,おいるじょっきー,オイルジョッキー,その他プラスチック,他プラ,
356,おいるすぷれー（ちょうりよう）（ようきのみ）,オイルスプレー（調理用）（容器のみ）,その他プラスチック,他プラ,
357,おいるすぷれー（ちょうりよう）（すぷれーかんたいぷ）,オイルスプレー（調理用）（スプレー缶タイプ）,危険,危険,
358,おいるぱっく（はいゆしょりぼっくす）,オイルパック（廃油処理ボックス）,自己搬入,自己搬入,西部クリーンセンター又はクリーンセンターおおたかへ自己搬入。
359,おいるひーたー,オイルヒーター,処理困難物,処理困難物,販売店、家電量販店又は専門の処理業者へ依頼。
360,おいるぽっと,オイルポット,金属,金属,
361,おいるらいたー・がすらいたー,オイルライター・ガスライター,危険,危険,なるべく中身は使い切る。
362,おーえいちぴーふぃるむ,OHPフィルム,その他プラスチック,他プラ,
363,おんえあたっぷ,OAタップ,金属,金属,
364,おーでぃお,オーディオ,金属（エコ）,金属（エコ）,
365,おーでぃおこんぽ,オーディオコンポ,金属（エコ）,金属（エコ）,
366,おーでぃおらっく（もくせい）,オーディオラック（木製）,燃やせるゴミ,可燃,
367,おーとばい,オートバイ,処理困難物,処理困難物,「二輪リサイクルコールセンター（050-3000-0727）」へ問い合わせ（ごみ分別ガイドブック２７ページ参照）。
368,おーなめんと（きんぞくせい）,オーナメント（金属製）,金属,金属,
369,おーなめんと（がらすせい）,オーナメント（ガラス製）,燃やせないごみ,不燃,
370,おーなめんと（もくせい）,オーナメント（木製）,燃やせるゴミ,可燃,
371,おーぶんとーすたー,オーブントースター,金属,金属,
372,おーぶんれんじ,オーブンレンジ,金属,金属,
373,おーぶんようとれー,オーブン用トレイ,金属,金属,
374,おーる（もくせい）,オール（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
375,おーる（きんぞくせい）,オール（金属製）,金属,金属,
376,おえかきぼーど（さてつでえをえがくもの）,お絵描きボード（砂鉄で絵を描く物）,燃やせないごみ,不燃,
377,おかし・けーきなどのやきがた（きんぞくせい）,お菓子・ケーキなどの焼型（金属製）,金属,金属,
378,おかしのほとぎ,お菓子の缶,金属,金属,
379,おかしのつつみがみ,お菓子の包み紙,燃やせるゴミ,可燃,
380,おかしのふくろ（ぷらすちっくせい）,お菓子の袋（プラスチック製）,容器包装プラスチック,容プラ,
381,おかしのふくろ（かみせい）,お菓子の袋（紙製）,燃やせるゴミ,可燃,
382,おかしのようき（ぷらすちっくせい）,お菓子の容器（プラスチック製）,その他プラスチック,他プラ,
383,おかま（きんぞくせい）,おかま（金属製）,金属,金属,
384,おかりな（ぷらすちっくせい）,オカリナ（プラスチック製）,その他プラスチック,他プラ,
385,おかりな（とうきせい）,オカリナ（陶器製）,燃やせないごみ,不燃,
386,おくきょう,置き鏡,燃やせないごみ,不燃,
387,おくときかず,置き時計,金属,金属,電池は取り外して「危険ごみ」。
388,おくるみ,おくるみ,燃やせるゴミ,可燃,
389,おく（もくせい）,おけ（木製）,燃やせるゴミ,可燃,
390,おく（ぷらすちっくせい）,おけ（プラスチック製）,その他プラスチック,他プラ,
391,おく（きんぞくせい）,おけ（金属製）,金属,金属,
392,おこう,お香,燃やせるゴミ,可燃,
393,おこうたて（とうきせい）,お香立て（陶器製）,燃やせないごみ,不燃,
394,おこうたて（きんぞくせい）,お香立て（金属製）,金属,金属,
395,おこうたて（もくせい）,お香立て（木製）,燃やせるゴミ,可燃,
396,おざしきわごん,お座敷ワゴン,燃やせるゴミ,可燃,
397,おしいれしーと,押入れシート,燃やせるゴミ,可燃,
398,おしぼり,おしぼり,燃やせるゴミ,可燃,
399,おしぼりのふくろ（ぷらすちっくせい）,おしぼりの袋（プラスチック製）,容器包装プラスチック,容プラ,
400,おしゃぶり,おしゃぶり,その他プラスチック,他プラ,
401,おしりふき,おしりふき,燃やせるゴミ,可燃,
402,おしりふきうぉーまー,おしりふきウオーマー,金属,金属,
403,おしりふきのけーす,おしりふきのケース,その他プラスチック,他プラ,
404,おーかしわで（ぷらすちっくせい）,お膳（プラスチック製）,その他プラスチック,他プラ,
405,おたま（もくせい・しりこんせい）,おたま（木製・シリコン製）,燃やせるゴミ,可燃,
406,おたま（ぷらすちっくせい）,おたま（プラスチック製）,その他プラスチック,他プラ,
407,おたま（きんぞくせい）,おたま（金属製）,金属,金属,
408,おたまおき（もくせい）,お玉置き（木製）,燃やせるゴミ,可燃,
